company_name,company_age,diversity_score,glassdoor_rating,hq_region
"Shaw, Nelson and Martin",8,8.17,2.7,Europe
Bryant-Rich,65,6.91,3.1,Europe
"Lloyd, Mckinney and Collins",18,6.49,3.9,South America
"Long, Anderson and Irwin",60,9.88,4.4,Africa
Blackwell LLC,80,7.73,3.0,Africa
Ware and Sons,87,8.6,2.7,Oceania
Humphrey PLC,15,9.32,4.9,Asia
"Roach, Browning and Jordan",87,7.37,4.8,Africa
Medina-Navarro,70,5.96,4.4,Oceania
King Inc,98,9.08,2.9,North America
Steele Group,27,5.12,2.5,Europe
"Harper, Smith and Buchanan",49,8.73,4.7,North America
"Alvarado, Miller and Patterson",29,8.69,2.6,Europe
"Morgan, Hamilton and Hernandez",80,7.62,4.0,Oceania
"Richardson, Brown and Cruz",96,6.55,3.6,South America
Powers LLC,22,9.63,2.9,Europe
Hall-Sullivan,7,9.22,2.6,Asia
Richards-Harris,76,6.45,3.3,Asia
Bailey Ltd,16,9.9,4.5,North America
"Smith, Jones and Santiago",38,5.47,3.2,Asia
Nelson Group,24,8.78,3.8,Africa
Byrd LLC,55,5.94,3.6,North America
Hart-Castillo,27,9.32,2.8,Africa
"Keith, Johns and Jones",76,8.69,4.9,North America
Diaz PLC,13,5.93,4.0,South America
Harper and Sons,67,8.44,4.3,South America
Freeman-Chang,89,5.11,4.4,Africa
"Patel, Adams and Lopez",36,8.71,4.9,Oceania
Adams-Sanders,8,5.36,3.7,Africa
Robertson-Hicks,84,5.95,4.4,Europe
"Shannon, Robinson and Greene",23,8.52,4.5,North America
"Harris, Santana and Lopez",78,7.72,3.9,Europe
Blackwell LLC,48,9.63,3.9,South America
"Choi, Garcia and Farmer",68,7.34,5.0,Europe
"Perez, Rodriguez and Rollins",13,8.16,3.2,South America
Marshall-Petersen,39,6.28,3.0,North America
"House, Smith and Wright",20,7.9,4.8,Africa
Rodriguez and Sons,22,6.08,3.0,South America
Gomez and Sons,82,7.77,3.1,North America
Stone PLC,58,5.99,3.4,Oceania
West PLC,36,8.89,4.4,Africa
"Roth, Logan and Moreno",96,5.31,2.5,Asia
"Smith, Jones and Santiago",73,5.97,4.0,Africa
"Newman, Jenkins and Cooper",81,9.66,4.9,Asia
Benton Group,79,5.56,3.2,Africa
Patterson Inc,79,7.45,3.5,North America
Brooks Ltd,43,9.33,4.8,Europe
"Moore, Price and Ward",1,8.51,3.2,North America
Estrada-Nolan,26,6.71,4.1,Africa
Jones-Bradley,35,7.22,3.3,North America
Bautista-Underwood,95,9.9,4.4,South America
"Moore, Hopkins and Le",49,5.34,4.7,Oceania
Ferguson-Mclean,51,6.74,3.8,Asia
Foley Inc,35,9.34,4.4,Asia
Morgan LLC,27,8.18,2.8,North America
Hicks Ltd,34,8.81,4.2,South America
Marquez-Fletcher,92,5.4,5.0,South America
Donovan-Perez,49,5.03,4.0,South America
Medina-Navarro,68,7.14,3.3,North America
Barnes Group,68,9.7,3.4,North America
"Nguyen, Mccoy and Price",2,7.67,3.5,Africa
"Harrison, Johnson and Roberts",11,5.7,4.7,Europe
Gonzales-Harrison,54,8.15,4.2,Asia
"Gallegos, Myers and Cook",40,8.81,4.6,Europe
Miller-Chan,60,9.39,4.0,South America
Oneal-Duncan,69,8.99,3.1,Africa
Hines-Berry,60,8.78,3.7,Africa
"Fowler, Jimenez and Burton",47,5.11,3.2,Europe
Brennan-Johnson,76,6.14,4.0,Africa
Atkinson LLC,81,6.97,2.7,Oceania
Levy-Lewis,16,5.11,3.1,Oceania
Herman-Walker,62,5.04,3.8,Africa
Holland Inc,75,9.9,4.6,Asia
Pearson-King,46,6.85,4.4,Europe
Mclean Group,71,8.83,3.3,North America
"Carrillo, Vaughn and Fowler",1,9.2,3.0,Oceania
"Gregory, Nguyen and Daugherty",65,8.86,4.2,South America
"Carroll, Ramirez and Rodriguez",67,9.33,3.1,Africa
Johnson-Doyle,71,7.73,2.7,Oceania
Lam-Elliott,96,5.75,4.0,South America
"Richardson, Brown and Cruz",35,8.71,4.3,Asia
Wheeler Group,65,5.3,4.2,Asia
Melton and Sons,30,6.1,3.1,Europe
Ballard Group,12,8.03,4.0,North America
Smith-Grimes,95,5.79,2.8,Oceania
Hill Inc,62,6.13,4.5,North America
Kelly-Estrada,80,7.24,4.3,South America
Moore-Chandler,81,8.4,2.5,Europe
Walton LLC,32,8.83,3.0,Oceania
Suarez LLC,37,8.54,4.1,South America
Reilly-Rodriguez,25,5.98,4.3,South America
Sims-Weber,44,8.35,3.0,North America
Ellis-Martin,72,6.52,4.8,Europe
Pope PLC,25,9.88,4.3,South America
"Perez, Hayes and Lloyd",2,7.48,4.7,Asia
"Quinn, Humphrey and Ford",79,9.36,4.4,Asia
"Chang, Lamb and Miller",73,9.92,4.6,South America
Hill-Flores,45,5.08,4.3,Europe
"Harris, Stephens and Kramer",97,8.9,2.8,North America
Stafford PLC,1,9.84,3.1,Asia
Brennan-Johnson,28,5.52,3.0,South America
"Wright, Wise and Ramos",74,5.06,4.8,Europe
Peters Ltd,56,9.47,2.9,Oceania
"Roberts, Stanton and Smith",33,7.92,4.7,Africa
Moore Group,5,6.12,4.7,Europe
Johnson-Schultz,28,5.88,3.2,Europe
"Ramsey, Mason and Mccann",11,7.69,4.3,Africa
King-Martinez,28,9.26,3.2,Europe
Nunez-Rodriguez,85,5.51,4.9,Asia
Gray-Ruiz,80,6.2,4.8,Europe
Mccall-Martin,75,7.61,3.8,South America
Williams-Berg,8,6.44,3.1,Oceania
Rangel LLC,80,5.61,3.6,North America
Sutton Group,86,9.23,4.0,Asia
"Abbott, Green and Andrews",65,6.53,3.9,Europe
"Garrett, Johnson and Reynolds",91,8.33,4.0,Asia
White-Coleman,13,5.69,3.3,South America
"Williams, Randolph and Gilbert",66,9.19,4.1,North America
"Ramos, Nelson and Fischer",44,9.96,4.2,Oceania
"Wilson, Smith and Cortez",30,8.59,4.8,Africa
Myers-Colon,42,6.25,4.7,Africa
"Anderson, Roberts and Gilmore",20,8.64,4.8,North America
"Charles, Brown and Smith",53,5.09,2.9,Europe
"Hoffman, Santiago and Jenkins",78,5.05,4.9,Europe
Hamilton LLC,84,9.97,4.4,Asia
Zhang PLC,89,8.24,2.8,South America
Harper and Sons,9,7.8,3.3,Asia
Holland Inc,64,5.09,4.0,North America
Peterson-Ramsey,19,7.31,4.2,Africa
Burton PLC,42,6.23,2.9,Africa
"Brown, Hayes and Clark",10,8.83,4.2,North America
"Macdonald, Willis and Silva",62,8.48,3.4,South America
Phillips LLC,92,6.07,4.7,Africa
Salazar Inc,25,6.5,4.4,North America
"Norris, Cisneros and Mathis",2,5.92,4.8,South America
"Davis, Rodriguez and Andrews",80,8.29,2.6,South America
Carrillo-Wolfe,26,8.9,2.9,South America
Aguilar LLC,8,5.13,2.5,Oceania
Santos-Martin,15,8.79,4.2,Africa
Flores LLC,98,9.63,4.9,Africa
Gross-Valencia,29,8.96,4.5,Oceania
Guerra Ltd,83,8.06,2.8,North America
Reid-Poole,47,9.14,4.6,Asia
Reilly-Rodriguez,88,8.47,4.9,Asia
Ellis-Martin,3,7.16,3.5,North America
Nunez-Rodriguez,52,6.15,2.7,Asia
Molina Inc,27,6.57,4.4,Europe
Bates PLC,81,8.43,3.8,Asia
Warren and Sons,75,6.6,3.2,Asia
"Gallegos, Myers and Cook",76,9.4,4.2,Africa
Simmons-Reed,91,5.89,4.6,Europe
Wood LLC,72,8.06,3.7,South America
Moss LLC,79,8.29,3.3,Europe
"Ward, Jordan and Orr",70,8.26,4.3,North America
Perry-Davis,1,7.69,4.2,Europe
Hess PLC,82,7.03,4.7,Europe
"Barrera, Kerr and Jenkins",9,9.7,3.1,South America
Rodriguez-Hall,45,9.76,2.5,Asia
"Long, Flores and Reyes",47,6.31,3.0,North America
Gamble-Wright,82,9.71,4.1,Africa
Howell and Sons,3,8.45,4.1,Africa
Stokes Inc,42,5.24,4.3,Oceania
"Hernandez, Wright and Lane",55,9.64,3.5,Africa
Ramirez Inc,15,8.36,4.8,Africa
"Pitts, Warner and Mullins",50,6.27,4.9,Oceania
"Franklin, Mann and White",66,5.8,4.3,Europe
Turner-Stout,5,5.78,4.4,Africa
"Moore, Daniels and Powell",82,6.27,3.2,Oceania
"Brown, Coffey and Fuentes",55,7.45,3.6,Europe
"Baker, Mason and White",61,8.32,4.8,Asia
"Arnold, Avila and Wilson",57,9.21,3.9,Oceania
Edwards-Scott,42,9.13,4.5,Europe
"Liu, Buchanan and Meyer",44,8.06,3.2,Europe
"Curry, Estrada and Anderson",76,5.58,4.7,Oceania
Evans-Briggs,27,5.3,2.7,Asia
Vaughn LLC,16,7.72,2.9,Europe
Johnson-Munoz,23,8.36,3.7,Europe
"Price, Gray and Baker",56,9.62,3.7,South America
Garcia PLC,83,9.47,2.7,Europe
"Pittman, Campbell and Martin",55,5.83,3.7,South America
Johnson Ltd,68,8.0,4.8,Asia
"Jones, Torres and Blackburn",91,5.37,3.1,Europe
Bauer PLC,83,6.67,3.4,North America
Adkins-Meyer,37,7.03,3.0,Oceania
Mora-White,1,9.15,2.7,Oceania
"Lee, Horton and Snyder",81,8.41,2.5,Oceania
"Martinez, Stanton and Bennett",10,9.36,3.1,South America
Turner-Carlson,78,8.45,3.6,South America
Navarro PLC,2,9.52,4.0,Asia
Joseph-Brooks,56,5.65,2.6,Asia
Woods LLC,63,8.14,2.9,Europe
Kirby and Sons,85,8.45,4.2,Europe
White Ltd,42,8.86,4.1,Asia
Bailey-Flores,32,8.54,3.5,Asia
Holt and Sons,70,6.51,4.7,Asia
Wells Inc,28,9.43,3.0,Africa
"Brennan, Wallace and Benson",28,8.41,3.8,Oceania
Spence PLC,54,8.31,3.4,South America
Robinson-Lee,81,6.37,4.7,Africa
Hopkins-Wallace,85,7.08,3.4,North America
"Evans, Hayden and Vaughn",41,5.98,4.2,Asia
Moody-Taylor,33,8.89,3.4,Oceania
Thompson-Wright,11,7.01,4.0,Asia
Roberts Ltd,71,5.11,4.1,North America
Hall and Sons,73,9.96,3.3,North America
Lopez-Jones,2,8.32,2.6,Europe
"Choi, Garcia and Farmer",91,6.21,4.0,Oceania
Waters-Smith,49,5.17,4.0,Africa
Pearson-King,63,6.59,4.6,Oceania
Mitchell Inc,93,8.18,4.5,North America
Perry LLC,71,9.69,4.1,Africa
Tate LLC,67,7.22,4.8,Africa
Young-Alexander,1,5.4,3.9,Asia
Bradley-Davis,4,7.48,4.6,Africa
Villegas PLC,6,8.49,2.9,Africa
"Cooper, Swanson and Mayo",52,6.94,4.4,North America
Edwards-Roth,29,7.81,3.2,Africa
Jackson-Cortez,31,7.06,3.0,North America
"Lewis, Holloway and Acosta",11,8.68,4.4,Africa
"Brown, Hurst and Blevins",40,6.31,3.4,Asia
"Abbott, Green and Andrews",37,8.77,3.1,Asia
Richards-Harris,8,8.83,4.8,South America
Hensley Ltd,59,9.57,4.6,North America
Paul-Kline,81,6.35,3.1,Africa
Price-Ali,12,9.37,4.4,North America
Miller-Chan,87,9.49,3.2,Africa
Turner-Mayer,83,5.26,4.7,Europe
"Gallegos, Adams and White",45,5.24,3.6,South America
"Quinn, Humphrey and Ford",97,8.82,4.2,Europe
"Leach, Skinner and Mills",27,9.51,4.0,North America
Miller Inc,96,8.24,4.9,Africa
"Serrano, Marsh and Gonzalez",57,6.05,4.6,Oceania
"Lee, Horton and Snyder",67,8.31,4.3,Asia
Ortiz-Rodriguez,54,7.73,4.4,Europe
Lewis-Murphy,10,8.04,4.3,Africa
"Russo, Collins and Murphy",78,6.73,4.3,South America
"Goodman, Peterson and Spencer",16,6.22,4.5,Europe
"Haas, Cooper and Davis",25,5.68,4.0,South America
Miller-Chan,22,6.58,4.4,Asia
Chen Ltd,56,7.63,3.9,South America
"Richardson, Brown and Cruz",91,7.79,4.0,Europe
"Jennings, Smith and Fisher",71,9.34,3.5,Asia
Barton-Chapman,12,7.5,2.6,Europe
Nelson-Dean,53,6.06,4.0,Africa
Todd-Harvey,86,7.86,4.1,Europe
Anderson-Rosario,47,5.21,3.1,North America
Griffin Group,67,8.88,3.3,South America
Smith-Grimes,59,9.16,2.7,South America
Allen-Allen,13,7.24,4.5,Africa
James Group,47,7.83,3.5,Asia
Harris-Walters,7,9.02,2.5,North America
Glover-Hammond,54,7.55,3.0,Africa
Woods LLC,25,9.7,2.9,Africa
Tran-Silva,61,7.52,3.8,Africa
Edwards-Ramsey,47,6.76,3.3,North America
"Lewis, Holloway and Acosta",76,8.32,4.3,Asia
Donovan-Perez,8,6.69,4.0,South America
Rodriguez and Sons,45,7.29,3.7,Europe
Decker and Sons,95,5.29,4.2,Europe
Garcia-James,93,8.48,4.7,North America
Burton Ltd,94,5.36,3.8,Africa
"Powell, Deleon and Warren",58,9.26,4.4,North America
"Munoz, Howard and Davis",23,5.96,2.8,North America
Brown-Rodriguez,99,7.65,4.5,Africa
"Wright, Mcknight and Stephens",32,5.02,2.8,Europe
Moody-Taylor,65,8.47,4.7,Africa
"Hoffman, Santiago and Jenkins",97,7.7,2.7,Africa
Willis-Gross,28,9.62,3.4,Oceania
Thompson-Hunter,38,8.04,4.4,South America
Ali PLC,14,8.05,3.0,Oceania
"Lewis, Castillo and Tate",77,7.42,3.6,Asia
Griffin Group,90,5.47,2.6,South America
Perez LLC,73,7.39,4.3,South America
Morgan-Rodriguez,29,6.39,4.7,Europe
Cole-Johnson,35,5.72,4.3,Oceania
Woods-Anderson,13,8.46,3.8,Africa
Jones-Lin,80,9.9,3.5,South America
"Grant, Bryan and Williams",4,8.63,4.1,Africa
Smith PLC,92,5.27,4.5,South America
Rodriguez-Campbell,87,6.53,4.9,Asia
Duran Group,98,7.51,3.1,Africa
"Mason, Martinez and Beck",28,5.87,2.9,Asia
"Brown, Dunlap and Moore",39,5.18,3.2,Europe
"Curry, Estrada and Anderson",86,9.38,2.6,Europe
Hunter-Bell,64,8.94,4.1,Africa
Simpson LLC,45,6.4,4.3,Africa
Allen-Peterson,96,6.53,2.8,Asia
Sullivan Group,66,6.56,4.0,Africa
Maldonado-Becker,44,5.51,4.3,South America
"Nguyen, Wallace and Lawson",50,9.41,3.6,North America
Castaneda-Ashley,85,8.24,3.4,South America
"Ortega, Solis and Warner",42,6.17,3.1,Europe
Baird-Williams,14,9.77,3.4,South America
Chen Ltd,47,9.29,4.2,Oceania
"Mayer, Fowler and Livingston",36,7.44,3.0,North America
Carter-Neal,24,6.61,4.3,South America
Garcia LLC,95,6.66,3.3,South America
Weaver-Gibson,18,8.08,4.5,North America
"Sanders, Harris and Arnold",14,8.64,4.6,South America
Smith-Barr,73,5.62,2.7,Europe
"Smith, Pena and Watts",37,8.94,4.6,Europe
Johnson-Munoz,21,8.0,4.1,North America
Lopez Ltd,92,6.38,4.3,Europe
"Shaffer, Garcia and Richardson",54,6.1,3.4,Africa
Ballard Group,66,7.49,4.7,Africa
Vargas Ltd,45,8.91,2.9,Africa
"Miller, Schultz and Yates",47,6.69,4.6,Oceania
Burton Ltd,10,9.2,4.1,Oceania
"Sparks, Jackson and Miller",90,8.12,4.3,North America
Barton-Chapman,40,6.97,3.5,Oceania
"Chang, Lamb and Miller",43,6.06,3.3,South America
"Gregory, Nguyen and Daugherty",9,6.08,3.6,North America
Kim Inc,5,8.21,5.0,North America
Combs-Davis,54,5.56,3.4,Asia
Duffy-Wilkerson,51,8.08,4.2,North America
Moody-Taylor,29,9.47,4.0,South America
Bailey-Flores,9,9.16,3.7,Oceania
"Jackson, Jackson and Perry",70,8.17,2.5,North America
"Johnson, Lee and Whitaker",29,9.36,3.2,Asia
Stewart-Bailey,63,5.97,4.3,North America
"Marks, Cook and Aguilar",92,7.34,5.0,South America
"Smith, Jones and Santiago",42,5.17,4.4,Europe
Webster Inc,46,5.14,4.4,Oceania
Reyes-Bradley,21,8.72,4.1,North America
"Roberts, Bowen and Miller",99,8.26,4.0,Asia
Evans-Jones,31,8.68,3.1,North America
"Mcdonald, Dillon and George",2,7.7,3.5,South America
Vaughn LLC,39,9.98,3.1,Oceania
Ward-Patrick,74,6.17,4.8,Europe
"Hudson, Bennett and Gray",69,6.05,4.4,North America
"Arroyo, Miller and Tucker",24,5.26,3.2,Asia
"Alvarado, Miller and Patterson",66,6.78,2.8,Africa
Parks LLC,55,8.3,4.6,North America
Mccall PLC,36,7.46,4.4,Oceania
Blake LLC,98,5.21,3.9,Oceania
"Lopez, Hess and Smith",3,7.88,4.6,North America
"Shields, Cochran and Adams",83,6.35,2.8,North America
Foster Inc,81,6.47,4.8,North America
Martin-Ewing,70,9.49,3.6,North America
Williams-Johnson,76,9.83,3.4,Europe
Deleon LLC,21,8.15,3.8,Asia
Arnold Ltd,62,8.1,3.0,North America
"Rivera, Campos and Taylor",28,6.84,5.0,South America
Wells Inc,23,5.12,4.9,South America
Miller Inc,93,8.41,2.7,South America
Carlson-Cruz,41,7.46,3.6,South America
Montes-Hammond,53,5.5,4.3,South America
Bartlett Ltd,32,7.37,4.7,Africa
Nunez-Rodriguez,89,8.24,3.2,South America
Vargas Ltd,34,7.19,4.1,Oceania
Dalton-Nguyen,41,7.89,3.8,Asia
"Trujillo, Chang and Williams",44,5.05,4.1,North America
"Contreras, Miller and Cooper",70,5.06,3.3,South America
Kemp-Montes,46,5.63,2.6,Africa
Rogers Group,62,8.15,2.8,Oceania
Burns-Ray,52,9.04,3.7,South America
Thompson-Wright,60,6.37,4.9,Oceania
Benton Group,6,7.51,4.0,Asia
"Garrison, Ryan and Miller",54,7.71,4.2,Europe
Warren and Sons,89,9.99,3.2,Oceania
"Johnson, Guzman and Mccall",38,6.33,2.9,Europe
"Buchanan, Walker and Chapman",47,6.44,4.4,South America
"Byrd, Oliver and Martinez",89,8.34,4.2,South America
Hahn-Ramsey,35,9.42,5.0,Asia
Brooks Ltd,61,5.81,4.7,South America
Morales and Sons,95,5.17,3.6,Europe
"Jackson, Rose and Lloyd",36,9.36,4.5,Europe
"Foley, Ibarra and Daniel",48,9.31,3.0,Oceania
Davis-Garcia,46,5.52,3.7,Oceania
"Holland, Murphy and Kline",3,6.4,2.7,Africa
"Burke, Martinez and Riggs",50,9.3,4.6,Oceania
"Perez, Hayes and Lloyd",51,5.89,4.9,Africa
Bennett Group,13,9.85,4.6,North America
Pearson-King,10,6.9,4.1,North America
Peterson-Beard,79,7.27,3.4,Europe
Cox Ltd,77,7.06,4.1,Oceania
"Long, Flores and Reyes",42,7.35,4.7,Europe
"Carpenter, Lynn and Howard",80,9.7,3.7,South America
Smith and Sons,63,5.7,3.0,Asia
"Alvarez, Benson and Wilson",17,7.97,4.1,Europe
"Brown, Dunlap and Moore",1,9.67,4.3,Asia
"Nelson, Morton and Medina",92,9.75,3.9,Europe
Cooper Inc,99,7.77,3.3,Africa
"Peterson, Reid and Johnson",95,6.96,3.2,Oceania
"Serrano, Marsh and Gonzalez",81,5.25,3.5,Oceania
Hart-Castillo,61,6.78,4.0,Oceania
"Jacobson, Singleton and King",82,7.84,4.8,North America
Deleon LLC,20,5.74,3.1,North America
Martin-Jones,76,5.09,3.6,Oceania
Taylor Group,63,9.78,4.2,Africa
Hill-Flores,19,6.98,3.7,North America
Armstrong-Young,22,6.01,4.6,Africa
"Ramos, Nelson and Fischer",14,7.55,4.9,Asia
"Hendrix, Green and Nunez",91,6.61,4.5,Africa
"Downs, Morris and Maddox",66,8.45,3.9,South America
Dorsey LLC,41,6.72,3.0,Asia
Stevens PLC,66,6.71,2.8,Asia
Lewis-Murphy,70,7.95,2.6,Africa
Scott Ltd,93,9.27,3.8,Africa
"Hernandez, Wright and Lane",1,9.52,3.9,Asia
Thompson-Wright,18,8.41,3.6,Europe
"Cunningham, Murphy and Wolfe",54,9.37,3.7,Europe
"Glenn, Brown and Michael",87,5.74,3.5,Asia
Hernandez Ltd,33,6.81,4.5,Africa
Nielsen-Mendoza,25,5.7,3.6,South America
Clark-King,53,7.49,3.8,Africa
"Daniel, Kelley and Murphy",96,5.0,2.9,Asia
Harvey PLC,42,9.5,4.8,Asia
Small-Anderson,49,5.72,3.5,Africa
Hardy-Wallace,99,8.13,3.1,North America
Hamilton LLC,42,5.39,4.9,Oceania
Fields Inc,66,9.27,3.6,Oceania
Hayes and Sons,81,8.14,2.9,Asia
Boyd and Sons,63,7.09,2.8,Oceania
"Herman, Bailey and Richmond",44,6.08,3.5,Africa
"Keith, Johns and Jones",43,7.92,3.9,Oceania
"Marsh, Spears and Yang",12,5.55,3.3,Oceania
Sullivan Group,83,5.62,4.5,South America
"Turner, Ortiz and Taylor",30,8.62,4.8,North America
Hess PLC,44,8.7,5.0,Asia
Vaughn LLC,60,8.76,2.7,Oceania
"Garrison, Rogers and Adams",63,5.3,4.2,Asia
"Gilbert, Fitzgerald and Sanchez",5,5.29,2.9,Asia
"Johnston, Sanchez and Kennedy",1,6.74,3.3,Africa
Wright-Soto,55,6.49,3.6,Oceania
Figueroa PLC,17,6.64,3.7,Asia
Owen-Brown,53,6.36,3.7,South America
"Ortega, Solis and Warner",52,5.42,4.6,North America
Hernandez-Hernandez,95,6.0,4.4,Oceania
Roberts Group,48,6.94,4.9,Europe
Knox-Powers,1,5.75,3.4,Asia
"Burns, Nguyen and Ellis",1,8.92,2.6,Africa
Patterson Inc,43,8.28,3.3,Oceania
Mclean Group,14,6.14,2.8,South America
"Glover, Moran and Johnson",90,8.53,2.5,North America
Hall-Matthews,51,9.46,2.9,South America
Evans-Cannon,51,7.26,4.1,Oceania
"Harris, Santana and Lopez",45,6.35,3.9,Africa
Miller-Orr,25,8.44,2.8,Oceania
Graham-Anthony,52,7.57,4.6,Oceania
"Nguyen, Wallace and Lawson",71,5.36,4.9,Africa
Edwards-Roth,47,8.67,3.9,Asia
Johnston-Hines,31,9.66,3.3,Asia
Chandler-Edwards,26,5.73,3.7,North America
"Mullen, Brewer and Hernandez",99,5.21,3.8,Europe
"Ramos, Davidson and Smith",1,5.42,4.2,Africa
"Hoffman, Baker and Richards",45,5.52,4.8,North America
Cruz PLC,6,7.95,4.3,Europe
Lowe Ltd,97,8.96,3.5,South America
"King, Nixon and West",2,5.27,3.6,South America
Rose-Warren,44,9.62,3.6,South America
"Shaw, Nelson and Martin",29,5.32,4.1,Oceania
"Shah, Mcintyre and Villanueva",30,9.82,2.7,South America
Guerra Ltd,36,8.05,2.7,North America
Hale Inc,64,9.78,3.8,South America
Spence PLC,84,7.07,2.9,Europe
"Hodge, Mckinney and Nelson",66,9.8,4.2,Asia
"Wilson, Smith and Cortez",19,6.03,3.2,Oceania
Weaver LLC,76,7.68,4.5,South America
Gross-Valencia,4,6.43,2.6,Asia
"Fisher, Wilson and Brown",10,9.96,4.0,Africa
"Grimes, Arnold and Lawson",62,7.75,3.1,North America
Parks LLC,71,5.07,3.5,North America
"Velez, Ward and Harrison",65,6.47,2.7,Oceania
Ford-Chavez,73,9.17,3.5,South America
Warner PLC,62,5.21,3.5,Europe
"Hensley, Lopez and Baker",6,8.0,2.6,Oceania
Williams PLC,73,7.64,4.9,South America
Ramirez-Bean,32,7.41,3.0,Europe
Carter LLC,49,6.31,3.2,South America
Humphrey-Baker,95,8.58,4.0,Asia
"Williamson, Brown and Pena",67,8.44,4.6,Oceania
Harvey PLC,98,9.78,3.9,Oceania
"Stuart, Brooks and Vance",95,5.62,3.5,Asia
House-Glover,82,8.54,2.7,Asia
Navarro PLC,44,5.15,3.9,Oceania
Rowe Group,4,6.58,4.8,Asia
Wilson-Dean,88,6.92,4.0,North America
Stewart-Buchanan,5,5.25,4.2,Oceania
Aguilar LLC,11,6.82,4.9,Oceania
Erickson Inc,93,8.68,3.0,North America
Alvarado-Davidson,54,6.9,4.7,North America
Williams-Villanueva,49,7.22,3.9,North America
Miller and Sons,59,8.46,4.3,North America
"Silva, Bray and Ford",34,9.5,4.7,Asia
"Burch, Kim and Hall",70,7.59,3.3,Europe
Davis PLC,65,5.36,3.8,Europe
Vargas Ltd,41,5.37,3.5,Africa
Todd-Harvey,70,9.61,2.9,North America
"Leonard, Ballard and Miller",54,5.97,4.9,Oceania
Wilson-Dean,3,9.4,3.5,Europe
Jimenez Inc,77,6.92,3.4,Europe
Gonzalez-Marsh,36,7.68,4.3,South America
Reilly-Rodriguez,70,5.88,3.7,Asia
"Jackson, Miller and Robertson",29,8.75,3.0,South America
Terry-Martinez,81,9.54,2.8,Asia
"Norton, Cox and Johnson",51,7.57,3.1,Africa
Underwood PLC,20,7.01,4.7,Oceania
"Garcia, Kim and Barrett",52,7.64,3.6,Oceania
Gilbert PLC,36,5.44,3.1,North America
Bruce-Walters,10,7.43,3.2,Oceania
"Anderson, Roberts and Gilmore",73,6.41,3.3,Europe
