education_required,avg_salary_usd,avg_years_experience
Master,115581,9
Master,121781,4
Bachelor,92791,4
Diploma,119989,0
Certificate,60215,1
Diploma,78013,2
PhD,64228,1
PhD,117477,7
Diploma,88830,9
Master,53078,4
Certificate,126577,8
Associate,104100,2
Master,139711,6
Diploma,78305,8
Diploma,68736,0
Certificate,57470,0
Certificate,87867,8
Diploma,73475,3
Associate,118789,3
Diploma,79876,2
Diploma,146757,2
PhD,112439,4
Diploma,72839,1
Certificate,132283,3
PhD,76689,2
Associate,108391,2
Diploma,100382,2
PhD,127284,4
Certificate,64058,4
Bachelor,127045,9
Associate,115737,3
Associate,97607,1
PhD,67425,1
Diploma,76118,2
PhD,64179,1
Bachelor,52532,6
PhD,57892,9
Certificate,102273,3
Bachelor,83960,5
Master,136804,0
Master,139564,7
PhD,131731,8
Associate,56173,9
PhD,77998,1
PhD,74054,9
Master,110118,7
Master,77892,1
Certificate,110486,6
Diploma,85651,7
Master,51373,5
Certificate,76644,2
Associate,104465,9
Associate,111204,8
Bachelor,137605,7
Bachelor,84530,1
PhD,144990,6
Certificate,118061,3
Associate,92640,9
PhD,137423,3
Bachelor,136496,3
Certificate,56367,5
Master,141234,6
Diploma,137193,2
Certificate,97972,2
Associate,148277,0
PhD,146181,6
Master,82432,4
Bachelor,126242,8
Associate,144655,1
Master,133472,0
Associate,121843,6
Associate,68447,9
Bachelor,145633,2
Certificate,102532,0
Certificate,108249,1
Certificate,70423,4
Diploma,141997,9
Diploma,137260,3
Master,81415,3
Master,80654,8
Master,55426,6
Associate,130538,3
Certificate,60804,1
Associate,59650,8
PhD,68103,8
Master,119544,6
Bachelor,148894,3
Associate,127598,3
Master,100181,8
Bachelor,56584,5
Associate,51834,6
PhD,50021,4
Diploma,100003,0
Diploma,56094,3
Certificate,53894,1
Associate,88263,9
Associate,140699,4
Certificate,85020,3
Master,115268,3
Bachelor,118755,8
Diploma,97353,4
PhD,108758,0
Master,129782,4
Associate,140541,8
Bachelor,141268,9
Master,93131,0
Bachelor,149000,1
Bachelor,99850,4
Bachelor,88150,3
Diploma,113870,7
Associate,137225,0
Certificate,93436,8
Master,97120,3
Master,83771,7
Master,101605,0
Bachelor,64389,9
Associate,61078,3
Bachelor,77832,3
Certificate,117877,6
Bachelor,131077,9
Diploma,64092,4
Associate,133332,2
Bachelor,57484,9
Associate,129525,3
Bachelor,51459,9
Associate,144017,6
Master,69442,3
Associate,71398,0
Master,140033,1
Master,99356,6
Bachelor,63826,0
PhD,67121,0
Bachelor,61587,2
PhD,141617,7
Master,58860,2
Bachelor,147997,2
Diploma,147887,6
Certificate,143613,7
Associate,130477,2
Bachelor,79461,8
Bachelor,76242,7
Master,63732,3
Associate,115798,0
Certificate,56730,3
PhD,103422,4
PhD,70265,8
Associate,51911,6
Associate,137551,5
PhD,137283,8
Certificate,101688,1
Bachelor,102878,1
Certificate,89515,5
Associate,61380,8
PhD,63915,3
Associate,57529,6
PhD,138265,0
PhD,81636,9
PhD,71448,0
Master,133821,7
PhD,135230,6
Certificate,108349,2
Diploma,149539,3
Associate,93911,7
Bachelor,127033,6
Certificate,94736,3
Associate,65830,3
Master,62382,2
Certificate,120574,6
Certificate,85116,5
Certificate,99953,0
PhD,54176,1
Certificate,82769,8
Bachelor,71144,0
Master,75223,8
Diploma,84960,8
Bachelor,92546,4
Diploma,129380,3
PhD,148387,2
PhD,73720,5
Master,50566,0
Diploma,122558,9
Certificate,120645,6
Bachelor,129310,6
Certificate,91305,4
Diploma,89325,2
Diploma,71837,8
Diploma,77929,5
Master,97222,7
Certificate,94394,0
Certificate,83733,5
Diploma,112918,3
Diploma,148283,2
Master,91306,5
Bachelor,67967,9
PhD,128928,6
PhD,145850,7
Associate,131149,6
Master,121983,8
Associate,118610,3
Certificate,131168,2
PhD,100574,4
Certificate,59720,6
Master,66160,9
Bachelor,105121,7
PhD,103615,7
Bachelor,63309,8
Bachelor,50235,4
Bachelor,123156,5
Certificate,100821,2
Bachelor,108013,6
PhD,89330,3
PhD,100417,2
PhD,102644,7
Bachelor,53109,7
PhD,99680,6
Bachelor,119361,6
Certificate,147875,5
Bachelor,98559,8
Diploma,113167,3
PhD,63617,8
Master,59592,4
Associate,119263,5
Bachelor,96768,9
Diploma,143800,8
Diploma,74295,5
PhD,112563,2
PhD,98413,8
PhD,50897,6
Bachelor,70038,9
Certificate,132277,2
Associate,73298,8
Associate,67368,6
Associate,132100,0
Certificate,116095,3
Certificate,62420,8
Diploma,50018,1
Master,83000,1
Bachelor,111871,7
Certificate,62510,2
Diploma,56753,2
Associate,111478,3
PhD,98620,7
Bachelor,120302,4
Associate,149063,3
Master,50740,0
PhD,124950,3
Associate,133680,5
Diploma,134854,4
Diploma,137736,3
Associate,149670,6
PhD,51422,9
Diploma,109722,5
Master,96048,4
Associate,132067,7
Bachelor,76272,2
Master,103057,1
PhD,69028,4
PhD,119857,9
Diploma,62507,7
Diploma,147543,2
Master,138617,6
Bachelor,71929,9
Certificate,73478,7
Associate,125008,0
Associate,77216,4
Diploma,129135,4
Bachelor,67885,8
Associate,132589,4
Master,108694,4
Master,101070,6
Certificate,119020,3
PhD,141385,0
Associate,110804,6
Bachelor,100734,5
Certificate,117137,6
Master,68037,3
Diploma,123202,7
Diploma,148935,2
Associate,137192,8
Bachelor,98386,3
Associate,73769,1
Master,115750,9
Diploma,52935,2
Master,82901,4
PhD,147676,3
Bachelor,104803,2
Bachelor,55033,2
Diploma,137671,1
PhD,105687,3
PhD,140440,5
PhD,142368,9
Associate,92683,1
PhD,58387,8
PhD,102232,5
Certificate,72950,4
Associate,108927,4
Associate,67075,5
Diploma,75670,1
Diploma,123864,3
Certificate,139222,7
Master,136301,5
Bachelor,75768,4
Associate,112812,5
Certificate,127752,2
Bachelor,93901,1
Master,70690,3
Certificate,126191,1
Certificate,147138,6
Associate,72674,7
Certificate,66138,3
Diploma,101325,9
Certificate,67744,6
Diploma,67646,0
Bachelor,133296,5
PhD,66576,9
Associate,55111,7
Diploma,89962,8
Certificate,65872,9
Associate,99717,6
Master,63542,1
Associate,64896,8
Bachelor,96024,5
Diploma,76800,3
Master,79031,6
PhD,92262,2
Diploma,141961,8
Diploma,65590,6
Bachelor,68636,0
Associate,136302,7
PhD,140506,8
Bachelor,115922,2
Bachelor,147933,5
Bachelor,114552,1
PhD,86092,7
PhD,125745,3
PhD,94709,2
Certificate,109585,3
Master,106710,6
Certificate,132707,1
Bachelor,85899,7
PhD,129251,7
PhD,73625,9
Certificate,110419,0
Bachelor,117442,7
Associate,68732,9
Master,96236,6
Master,129817,2
Master,120773,9
Diploma,133154,1
Certificate,136911,3
Associate,69494,9
PhD,94985,4
Associate,93455,0
Certificate,138078,0
Associate,82012,6
Master,97872,9
Master,103139,6
Associate,85788,0
Master,92087,9
Associate,98867,2
Master,71879,7
PhD,76207,9
Associate,116941,3
Associate,100380,7
Bachelor,85172,0
Bachelor,85707,2
Bachelor,66195,7
Associate,98619,9
Master,73768,5
Certificate,132715,8
Diploma,111974,3
Master,79088,4
Certificate,106946,2
Certificate,108250,0
Bachelor,59446,4
Associate,101242,2
Bachelor,145562,9
Diploma,88122,6
Associate,103083,7
Certificate,70898,4
PhD,115177,5
PhD,66550,5
PhD,50006,3
Associate,63588,3
Diploma,76381,2
Bachelor,125195,4
Certificate,114459,6
Diploma,124155,8
PhD,96110,0
Certificate,55795,7
Associate,55658,7
Associate,134530,9
PhD,52514,7
Certificate,58398,2
Diploma,62551,2
Bachelor,124786,5
Bachelor,52156,9
Associate,51805,1
Certificate,61609,9
PhD,122818,6
PhD,133837,5
Associate,89877,3
PhD,109967,1
Bachelor,136495,9
Certificate,72485,1
Bachelor,99807,7
PhD,118050,4
Diploma,84699,9
Master,56964,2
Certificate,142214,7
Associate,75043,6
Certificate,62556,6
Bachelor,103510,6
Bachelor,84438,0
Bachelor,52946,4
Bachelor,136641,2
Associate,78472,5
Associate,118397,2
PhD,148280,6
PhD,59397,4
Diploma,65214,1
Certificate,60720,1
Certificate,61133,2
PhD,85824,6
Certificate,123883,5
Diploma,109417,1
Master,98986,9
PhD,136044,0
Bachelor,123611,9
Bachelor,140840,6
Master,73350,7
Certificate,136576,0
PhD,132634,5
Diploma,98324,8
Associate,77382,3
Certificate,80186,8
Master,68573,9
Bachelor,135177,7
Associate,130926,9
Master,126214,8
Certificate,59112,6
Bachelor,67699,8
PhD,118935,2
Diploma,92186,6
PhD,53569,8
Certificate,52243,9
Master,125208,1
Bachelor,115714,4
Certificate,116174,1
Bachelor,54267,5
PhD,90572,8
Diploma,120880,7
PhD,98449,0
Master,138633,4
Diploma,69091,9
Diploma,91487,2
Diploma,134374,3
Certificate,53770,8
Bachelor,121288,0
Bachelor,137729,9
Bachelor,55565,8
PhD,66233,7
Certificate,55801,9
Certificate,93674,5
Bachelor,66491,8
Diploma,61196,7
Bachelor,114905,8
Associate,59940,5
Certificate,68914,8
PhD,75895,3
Master,70719,4
Associate,64909,4
PhD,112494,7
Bachelor,86932,4
Master,90114,2
Certificate,76909,2
PhD,131321,9
PhD,123868,4
Certificate,84681,9
Master,110250,6
Associate,138307,3
Bachelor,109746,0
Certificate,84863,9
Certificate,112786,9
Certificate,115097,4
Bachelor,68216,7
Associate,86199,3
Bachelor,115835,0
Master,104260,0
Bachelor,134871,9
Certificate,118374,5
Master,99827,8
PhD,90420,6
Bachelor,117722,7
Master,96806,8
PhD,71662,8
Bachelor,105050,1
Master,104076,5
Diploma,132059,1
Master,98247,6
Diploma,107389,8
Diploma,115527,8
Master,124387,6
Master,89213,7
Master,125762,0
Diploma,143069,9
Certificate,50914,1
PhD,96818,2
Diploma,138508,8
Bachelor,117918,5
Associate,145755,8
Master,80344,8
Bachelor,142526,4
Associate,100248,3
Certificate,149987,4
Associate,139641,1
Associate,118564,5
Associate,62075,7
Bachelor,125814,7
Master,101705,2
Associate,75046,8
PhD,137304,9
PhD,147954,7
PhD,122010,4
Master,57626,4
Associate,146636,9
Bachelor,129178,3
Bachelor,146673,2
Bachelor,59835,3
Master,133146,2
Bachelor,89617,1
Master,100541,5
Associate,77216,6
Diploma,97215,2
Diploma,121117,5
Bachelor,81441,4
Associate,56754,9
Diploma,73827,1
Master,122259,9
Certificate,133624,6
Certificate,91036,8
PhD,103515,8
Certificate,70103,0
Certificate,71119,2
Certificate,63692,7
Certificate,131923,0
Associate,134768,5
Bachelor,125234,5
Associate,125765,1
Diploma,143697,6
Diploma,108971,2
Master,94242,4
Associate,87777,6
Bachelor,100364,0
Bachelor,87656,9
Certificate,143444,2
Diploma,64727,4
Diploma,129273,4
PhD,80852,5
Certificate,77714,1
Master,123780,9
Bachelor,114489,4
Associate,142535,1
Diploma,143872,8
Master,129983,7
Certificate,106902,5
Certificate,62696,2
Diploma,131228,5
PhD,139945,3
Diploma,59814,1
Master,108058,1
PhD,106912,7
PhD,84709,5
Certificate,94684,6
Bachelor,141510,9
Bachelor,140235,0
Bachelor,72638,2
PhD,75222,8
Diploma,122599,0
PhD,71708,8
Master,95321,8
Associate,90025,4
Master,100207,4
PhD,140239,4
Associate,111579,6
Certificate,149709,2
Associate,59173,1
PhD,76995,0
PhD,145865,7
Diploma,108186,0
PhD,142709,3
Bachelor,108388,3
Master,65110,2
PhD,101278,5
Diploma,148659,7
Certificate,142109,6
Master,113103,5
PhD,54513,7
Associate,82973,7
Master,144952,3
Associate,59648,5
Bachelor,142686,7
Associate,145606,7
Diploma,122941,1
Bachelor,102043,3
Bachelor,102170,4
Diploma,52377,2
PhD,102254,7
Diploma,68191,7
Diploma,123993,7
Bachelor,147707,8
Diploma,52704,0
Certificate,93991,9
Master,132330,9
Master,145164,7
Diploma,68053,0
Master,116747,6
Bachelor,77932,5
Bachelor,98796,2
Master,85686,0
Diploma,88589,4
Associate,148225,0
PhD,118239,5
Certificate,66604,1
Associate,117628,5
Associate,60118,8
Diploma,131032,6
PhD,99859,3
Master,118146,7
Associate,147495,4
Diploma,136004,0
Certificate,66719,6
Bachelor,114714,3
Associate,122277,0
Bachelor,145860,0
Diploma,54151,3
PhD,110206,4
Certificate,135760,2
Master,69529,2
PhD,74801,5
Master,60536,6
Associate,103536,5
Associate,100021,3
Associate,116899,1
PhD,100574,1
Diploma,118668,9
Master,112761,6
Bachelor,139056,3
PhD,51050,0
Certificate,116904,7
Bachelor,142102,6
Associate,134532,9
PhD,85199,2
PhD,114286,9
PhD,60608,6
Associate,138080,3
Bachelor,77814,6
Bachelor,82897,9
Associate,84717,4
Certificate,52673,0
Diploma,138112,6
Bachelor,55855,7
Bachelor,92409,7
Bachelor,119430,1
Master,61141,2
Bachelor,145304,5
Diploma,70895,4
Master,110456,2
Diploma,60647,7
PhD,64309,7
Master,131609,3
PhD,60696,8
Diploma,86591,2
Certificate,54062,1
Diploma,132513,1
Diploma,86351,6
Associate,137472,2
Associate,109076,8
Certificate,129553,3
Master,105087,8
Associate,91708,6
Certificate,88221,3
Bachelor,54362,5
PhD,96941,4
Diploma,133253,8
Bachelor,56170,2
Certificate,139967,7
Bachelor,96117,7
Bachelor,50449,8
Associate,67175,5
Bachelor,116911,5
Bachelor,135599,1
Certificate,131537,5
PhD,149672,4
Bachelor,70994,6
Associate,139582,6
Certificate,131033,2
Bachelor,57451,0
PhD,87278,1
Diploma,69184,9
Master,124221,6
PhD,101141,1
Bachelor,69948,8
Diploma,127851,8
Master,88869,4
Master,145867,0
PhD,74820,4
Diploma,57193,4
Bachelor,56008,0
Master,50518,8
Master,52909,8
Bachelor,148216,3
Master,101095,4
Master,60231,4
PhD,112867,8
Certificate,86215,5
Diploma,100784,1
Associate,66851,4
Bachelor,96499,8
Master,127117,6
Bachelor,82507,6
Associate,146449,6
PhD,73342,6
Associate,76158,6
Diploma,131254,3
Diploma,89435,4
PhD,144944,0
Bachelor,81249,5
PhD,125890,5
Certificate,143013,4
Bachelor,79572,0
Associate,121565,9
Certificate,51144,8
Master,112389,8
Associate,134862,2
Master,86697,8
Certificate,54238,2
Bachelor,114821,4
Master,99173,3
Diploma,123567,1
Bachelor,110514,6
Bachelor,56745,9
Bachelor,148632,8
Associate,103898,7
Diploma,58325,6
Diploma,99369,5
Associate,70186,0
Master,141857,0
Bachelor,147531,1
Bachelor,78523,1
Associate,68895,3
PhD,106763,2
Bachelor,59734,2
PhD,109434,4
Bachelor,119280,2
Bachelor,65307,6
Master,124732,9
Master,89399,4
Certificate,56404,9
Bachelor,138801,9
Associate,113896,0
PhD,129898,3
PhD,96797,8
Associate,78113,5
Certificate,101089,4
PhD,103878,4
Master,136504,2
Master,83780,4
Certificate,89058,7
Master,139083,4
Diploma,81955,0
Certificate,65725,2
PhD,87800,1
PhD,62104,3
Diploma,136259,0
Certificate,135287,7
Associate,141057,7
PhD,117591,6
Associate,94349,6
Master,83677,6
PhD,133603,7
Master,112609,4
Diploma,95140,1
Bachelor,117679,4
Diploma,91481,5
Diploma,129995,1
Bachelor,83291,2
Diploma,84389,5
Master,147041,7
Associate,91962,1
Diploma,144031,0
Diploma,140383,1
Master,142337,6
Diploma,66439,6
Certificate,93728,2
Bachelor,77219,1
